Actual,Predicted,Residuals
0,0,0
5,0,5
0,3,-3
0,0,0
42,65,-23
2,0,2
15,2,13
23,13,10
12,0,12
3,2,1
0,0,0
8,11,-3
2,2,0
7,1,6
5,5,0
0,0,0
0,1,-1
3,3,0
9,43,-34
15,4,11
0,2,-2
11,0,11
5,7,-2
13,13,0
7,2,5
0,0,0
0,0,0
3,0,3
1,0,1
3,9,-6
6,34,-28
4,0,4
0,0,0
1,0,1
2,0,2
0,2,-2
0,0,0
1,1,0
5,0,5
2,0,2
10,8,2
7,15,-8
0,0,0
3,3,0
6,11,-5
4,1,3
1,2,-1
1,0,1
0,5,-5
0,2,-2
2,2,0
0,0,0
19,62,-43
0,0,0
0,7,-7
5,5,0
19,3,16
13,11,2
9,2,7
1,1,0
10,0,10
10,2,8
8,7,1
12,6,6
1,53,-52
0,0,0
5,0,5
7,2,5
5,0,5
0,1,-1
9,0,9
3,2,1
8,2,6
0,0,0
5,3,2
5,5,0
9,7,2
5,0,5
11,11,0
6,10,-4
33,50,-17
0,0,0
5,7,-2
4,0,4
27,11,16
0,0,0
3,0,3
14,0,14
1,0,1
20,2,18
0,0,0
13,7,6
6,4,2
7,1,6
8,1,7
0,26,-26
11,7,4
26,0,26
2,1,1
5,0,5
1,0,1
0,7,-7
0,0,0
0,0,0
13,0,13
0,1,-1
1,0,1
37,11,26
10,0,10
6,1,5
0,0,0
2,2,0
15,0,15
6,1,5
11,0,11
1,0,1
0,0,0
0,2,-2
44,14,30
2,0,2
24,27,-3
5,5,0
4,11,-7
0,1,-1
0,1,-1
1,0,1
5,1,4
13,4,9
0,0,0
4,0,4
38,0,38
0,0,0
4,41,-37
10,0,10
9,4,5
14,2,12
1,7,-6
27,0,27
1,4,-3
5,1,4
18,1,17
5,0,5
13,10,3
5,2,3
3,0,3
7,24,-17
1,0,1
2,2,0
3,2,1
2,6,-4
3,1,2
3,0,3
2,0,2
0,1,-1
0,0,0
7,4,3
7,1,6
0,0,0
14,0,14
15,4,11
18,5,13
15,3,12
3,0,3
2,1,1
6,2,4
5,0,5
8,0,8
2,0,2
0,2,-2
0,0,0
9,10,-1
13,0,13
8,2,6
3,15,-12
18,5,13
4,0,4
1,0,1
22,0,22
0,0,0
6,1,5
2,2,0
21,0,21
2,0,2
44,5,39
0,5,-5
2,1,1
1,11,-10
0,10,-10
5,0,5
4,0,4
1,0,1
28,18,10
12,2,10
19,1,18
2,1,1
7,7,0
1,6,-5
0,0,0
0,0,0
23,0,23
2,3,-1
0,5,-5
0,0,0
6,2,4
10,11,-1
1,1,0
0,1,-1
0,0,0
2,5,-3
5,0,5
20,20,0
8,16,-8
9,4,5
10,10,0
3,1,2
3,1,2
2,2,0
3,0,3
6,0,6
8,8,0
6,7,-1
3,0,3
10,10,0
5,1,4
0,0,0
0,2,-2
22,3,19
3,1,2
0,0,0
5,3,2
16,0,16
0,2,-2
21,0,21
4,0,4
6,0,6
8,13,-5
21,3,18
1,0,1
1,0,1
13,0,13
0,0,0
1,1,0
1,0,1
12,1,11
30,1,29
1,1,0
17,1,16
9,3,6
36,3,33
15,0,15
3,7,-4
6,0,6
3,0,3
5,34,-29
2,0,2
6,0,6
18,0,18
0,15,-15
5,6,-1
0,0,0
0,2,-2
1,0,1
1,0,1
10,48,-38
3,2,1
14,5,9
5,0,5
16,10,6
9,1,8
8,7,1
42,26,16
36,1,35
10,0,10
5,0,5
1,1,0
7,1,6
16,22,-6
19,0,19
4,25,-21
3,0,3
6,0,6
3,2,1
5,0,5
3,3,0
80,80,0
15,2,13
16,1,15
1,0,1
7,2,5
0,0,0
0,0,0
1,0,1
4,3,1
0,0,0
17,0,17
14,3,11
15,0,15
23,0,23
1,5,-4
23,0,23
2,7,-5
25,39,-14
8,4,4
4,2,2
4,2,2
1,1,0
2,2,0
14,2,12
9,0,9
5,3,2
1,2,-1
1,0,1
5,0,5
1,0,1
10,3,7
6,2,4
1,1,0
32,2,30
0,0,0
2,4,-2
0,1,-1
0,0,0
2,2,0
9,0,9
4,2,2
1,50,-49
11,1,10
0,0,0
0,0,0
5,9,-4
18,0,18
0,0,0
4,7,-3
3,1,2
0,0,0
1,2,-1
12,2,10
16,0,16
2,0,2
7,0,7
3,0,3
1,2,-1
23,0,23
5,8,-3
3,1,2
0,1,-1
5,0,5
0,1,-1
4,0,4
4,0,4
4,4,0
3,0,3
10,2,8
5,8,-3
7,0,7
4,9,-5
2,0,2
0,0,0
2,6,-4
6,0,6
4,1,3
5,2,3
8,0,8
3,21,-18
0,0,0
3,6,-3
0,0,0
0,0,0
5,1,4
1,0,1
8,0,8
0,0,0
1,3,-2
4,8,-4
2,1,1
34,0,34
2,11,-9
1,0,1
29,0,29
0,0,0
1,0,1
3,0,3
17,6,11
5,4,1
2,5,-3
0,0,0
0,1,-1
0,0,0
7,7,0
0,0,0
0,0,0
7,0,7
8,0,8
20,7,13
5,0,5
2,0,2
6,0,6
2,4,-2
26,0,26
6,3,3
3,3,0
0,2,-2
5,10,-5
0,0,0
0,0,0
7,8,-1
6,1,5
12,3,9
0,0,0
1,0,1
0,0,0
0,0,0
1,2,-1
0,0,0
6,1,5
1,0,1
3,14,-11
1,0,1
6,23,-17
45,2,43
2,5,-3
1,7,-6
3,0,3
17,0,17
6,0,6
5,0,5
13,0,13
2,1,1
6,1,5
0,0,0
5,0,5
3,11,-8
0,3,-3
60,5,55
7,6,1
0,0,0
5,19,-14
8,15,-7
1,1,0
4,1,3
5,2,3
3,14,-11
2,0,2
12,1,11
3,0,3
0,2,-2
25,0,25
4,0,4
3,2,1
1,0,1
1,0,1
3,4,-1
0,0,0
9,5,4
3,4,-1
1,4,-3
17,0,17
0,0,0
4,1,3
2,2,0
22,5,17
0,0,0
25,0,25
9,6,3
1,1,0
0,0,0
5,0,5
20,0,20
0,2,-2
7,3,4
2,0,2
0,0,0
6,3,3
6,7,-1
21,1,20
1,0,1
2,0,2
0,0,0
6,9,-3
18,1,17
15,1,14
0,1,-1
1,0,1
2,18,-16
0,0,0
6,15,-9
10,10,0
11,0,11
0,0,0
6,6,0
3,0,3
9,0,9
5,0,5
3,0,3
1,0,1
1,1,0
7,1,6
0,0,0
2,0,2
26,4,22
0,14,-14
0,0,0
7,10,-3
6,2,4
11,33,-22
3,3,0
7,9,-2
8,36,-28
0,3,-3
5,0,5
2,2,0
1,1,0
9,13,-4
17,0,17
1,1,0
2,0,2
0,0,0
0,0,0
10,0,10
6,0,6
1,0,1
1,1,0
0,0,0
12,5,7
4,0,4
1,0,1
4,3,1
0,0,0
19,10,9
7,2,5
0,0,0
14,2,12
1,0,1
5,3,2
5,5,0
20,1,19
9,5,4
0,0,0
1,0,1
1,9,-8
4,0,4
9,0,9
0,0,0
11,0,11
8,1,7
32,0,32
1,9,-8
0,0,0
7,1,6
10,0,10
28,27,1
17,0,17
2,0,2
3,0,3
6,0,6
2,0,2
0,0,0
2,2,0
0,3,-3
1,0,1
0,7,-7
0,1,-1
3,0,3
13,10,3
15,6,9
10,2,8
8,5,3
13,6,7
10,0,10
3,2,1
4,3,1
6,0,6
2,0,2
5,0,5
7,3,4
7,0,7
1,0,1
2,1,1
7,6,1
18,4,14
3,0,3
8,0,8
0,0,0
7,0,7
4,7,-3
1,0,1
0,0,0
2,3,-1
9,0,9
8,6,2
6,6,0
2,22,-20
10,8,2
2,3,-1
17,3,14
5,2,3
0,3,-3
0,0,0
5,2,3
0,2,-2
0,2,-2
7,2,5
1,0,1
0,0,0
5,0,5
2,0,2
1,0,1
25,5,20
19,0,19
0,0,0
0,0,0
1,0,1
0,0,0
77,9,68
3,3,0
1,1,0
2,2,0
0,0,0
1,0,1
4,0,4
19,0,19
6,5,1
5,0,5
3,7,-4
13,1,12
15,14,1
9,0,9
0,1,-1
1,0,1
2,3,-1
15,0,15
3,2,1
4,2,2
6,6,0
37,27,10
9,1,8
1,4,-3
16,0,16
11,1,10
13,3,10
1,11,-10
5,7,-2
9,1,8
2,0,2
19,3,16
14,2,12
8,8,0
0,4,-4
23,35,-12
5,5,0
11,5,6
5,0,5
3,1,2
0,1,-1
0,1,-1
0,0,0
5,0,5
1,7,-6
8,5,3
0,1,-1
11,0,11
2,4,-2
20,0,20
0,0,0
8,2,6
3,10,-7
5,1,4
1,1,0
1,0,1
0,0,0
4,6,-2
18,0,18
2,5,-3
0,0,0
2,2,0
2,0,2
1,0,1
0,0,0
1,4,-3
4,8,-4
24,14,10
2,0,2
0,0,0
0,1,-1
0,1,-1
10,13,-3
3,0,3
9,3,6
2,1,1
9,7,2
7,2,5
1,0,1
15,3,12
0,5,-5
0,0,0
3,3,0
0,1,-1
0,1,-1
0,9,-9
4,5,-1
1,4,-3
3,1,2
26,4,22
6,1,5
5,1,4
2,1,1
3,12,-9
8,11,-3
1,0,1
26,0,26
0,1,-1
0,0,0
0,0,0
0,0,0
8,0,8
1,3,-2
6,3,3
5,1,4
7,9,-2
2,2,0
1,0,1
2,4,-2
45,0,45
7,13,-6
4,7,-3
2,0,2
0,0,0
7,1,6
18,0,18
4,11,-7
10,0,10
3,1,2
7,0,7
5,3,2
70,35,35
0,0,0
10,0,10
11,0,11
18,18,0
10,7,3
7,14,-7
3,10,-7
4,3,1
1,1,0
0,2,-2
34,5,29
18,0,18
6,2,4
6,1,5
4,7,-3
2,12,-10
1,0,1
9,0,9
1,1,0
4,1,3
10,0,10
3,0,3
8,10,-2
5,1,4
8,1,7
18,5,13
1,0,1
8,20,-12
19,14,5
0,0,0
5,0,5
0,0,0
4,0,4
4,0,4
5,1,4
3,0,3
18,0,18
9,0,9
2,0,2
7,5,2
4,5,-1
2,1,1
0,0,0
0,0,0
0,0,0
9,5,4
13,4,9
8,3,5
9,0,9
5,1,4
3,16,-13
8,1,7
10,2,8
4,0,4
0,13,-13
3,0,3
2,0,2
1,0,1
9,0,9
29,0,29
2,25,-23
1,0,1
7,0,7
6,5,1
7,1,6
2,0,2
17,4,13
8,10,-2
1,2,-1
1,0,1
5,3,2
34,0,34
13,0,13
1,0,1
0,0,0
33,36,-3
5,2,3
3,2,1
12,12,0
11,5,6
14,5,9
1,1,0
2,0,2
3,3,0
3,3,0
0,0,0
3,42,-39
4,5,-1
8,8,0
7,0,7
10,1,9
15,9,6
0,0,0
4,0,4
15,0,15
26,2,24
1,3,-2
1,3,-2
0,0,0
0,3,-3
0,0,0
0,0,0
6,0,6
3,2,1
2,0,2
1,2,-1
3,0,3
0,0,0
1,0,1
2,0,2
6,11,-5
1,0,1
1,0,1
3,1,2
5,0,5
8,13,-5
2,0,2
12,11,1
0,0,0
0,0,0
8,0,8
20,22,-2
11,15,-4
0,0,0
8,8,0
3,1,2
1,1,0
3,0,3
19,11,8
5,0,5
0,0,0
2,1,1
1,3,-2
3,0,3
2,0,2
2,20,-18
21,16,5
0,0,0
17,20,-3
7,10,-3
0,0,0
13,2,11
0,22,-22
17,7,10
0,0,0
3,9,-6
4,8,-4
0,0,0
0,0,0
3,0,3
5,4,1
8,2,6
3,2,1
0,0,0
5,4,1
0,0,0
2,0,2
4,2,2
1,0,1
12,0,12
1,0,1
0,0,0
16,9,7
38,41,-3
13,11,2
2,2,0
13,10,3
3,0,3
8,0,8
6,8,-2
0,0,0
10,19,-9
2,0,2
9,1,8
11,4,7
18,22,-4
2,0,2
5,0,5
0,3,-3
3,4,-1
8,20,-12
3,3,0
0,8,-8
21,0,21
16,10,6
7,0,7
0,0,0
1,5,-4
6,3,3
0,10,-10
1,7,-6
0,0,0
1,5,-4
0,0,0
2,7,-5
0,5,-5
1,39,-38
15,7,8
4,0,4
12,5,7
9,0,9
11,0,11
2,0,2
1,0,1
6,2,4
25,6,19
4,1,3
0,1,-1
1,1,0
1,2,-1
0,0,0
1,0,1
6,3,3
3,1,2
1,9,-8
7,17,-10
7,2,5
28,7,21
7,7,0
5,7,-2
0,0,0
2,2,0
2,3,-1
1,0,1
4,4,0
1,2,-1
0,0,0
16,0,16
0,1,-1
21,0,21
2,2,0
4,0,4
11,6,5
4,5,-1
7,2,5
9,17,-8
5,0,5
8,9,-1
1,1,0
1,1,0
75,75,0
5,2,3
5,0,5
4,0,4
1,1,0
0,0,0
5,2,3
3,0,3
0,0,0
0,3,-3
0,0,0
7,7,0
1,0,1
8,1,7
27,33,-6
11,2,9
0,0,0
3,2,1
13,7,6
10,0,10
0,0,0
0,3,-3
13,2,11
10,26,-16
0,3,-3
1,10,-9
7,7,0
20,3,17
0,2,-2
23,0,23
19,8,11
2,0,2
14,2,12
1,1,0
18,7,11
11,0,11
4,0,4
3,8,-5
17,1,16
4,4,0
3,3,0
1,1,0
0,0,0
0,0,0
3,2,1
10,10,0
7,0,7
4,3,1
0,0,0
1,1,0
2,1,1
3,9,-6
2,2,0
11,7,4
1,1,0
1,11,-10
0,0,0
0,1,-1
14,3,11
13,3,10
2,10,-8
4,11,-7
12,4,8
1,0,1
20,0,20
1,1,0
9,0,9
21,1,20
9,2,7
0,1,-1
2,0,2
1,2,-1
5,0,5
0,0,0
7,1,6
0,0,0
2,7,-5
0,0,0
0,0,0
0,1,-1
8,7,1
0,0,0
4,0,4
4,0,4
1,11,-10
18,12,6
3,0,3
1,1,0
4,0,4
14,4,10
11,0,11
0,1,-1
0,7,-7
3,4,-1
2,0,2
3,4,-1
24,0,24
3,2,1
19,16,3
1,0,1
0,0,0
3,8,-5
0,0,0
0,0,0
3,0,3
1,3,-2
16,0,16
1,1,0
14,19,-5
1,0,1
1,1,0
4,2,2
4,5,-1
45,1,44
2,2,0
0,0,0
8,6,2
0,7,-7
1,1,0
0,1,-1
1,4,-3
0,0,0
0,0,0
0,3,-3
1,0,1
8,7,1
38,38,0
2,0,2
5,5,0
1,0,1
1,1,0
2,0,2
14,1,13
2,5,-3
0,1,-1
0,0,0
0,0,0
3,0,3
6,2,4
0,0,0
20,12,8
15,34,-19
2,0,2
15,3,12
2,2,0
0,0,0
1,7,-6
12,4,8
15,15,0
0,2,-2
0,0,0
25,1,24
2,37,-35
0,0,0
3,0,3
12,2,10
76,37,39
0,0,0
15,2,13
9,3,6
1,0,1
13,0,13
2,2,0
21,5,16
14,4,10
0,0,0
6,0,6
9,6,3
0,0,0
29,3,26
1,6,-5
0,0,0
13,1,12
0,0,0
41,3,38
4,0,4
0,0,0
0,0,0
1,5,-4
11,0,11
0,0,0
0,30,-30
18,14,4
3,0,3
29,15,14
0,0,0
2,2,0
0,1,-1
3,0,3
33,0,33
8,3,5
18,6,12
8,1,7
1,7,-6
1,0,1
2,0,2
3,1,2
2,0,2
1,1,0
2,2,0
30,1,29
1,0,1
0,0,0
0,0,0
11,0,11
14,1,13
7,0,7
0,0,0
24,15,9
0,1,-1
1,1,0
8,12,-4
3,1,2
11,9,2
2,0,2
17,7,10
16,1,15
8,0,8
9,9,0
37,6,31
0,1,-1
11,8,3
15,15,0
0,0,0
2,8,-6
2,1,1
14,3,11
5,0,5
1,0,1
0,0,0
0,4,-4
4,4,0
11,0,11
2,3,-1
29,14,15
6,3,3
2,0,2
1,0,1
14,1,13
0,3,-3
0,0,0
3,0,3
5,6,-1
7,4,3
0,0,0
3,0,3
6,3,3
1,0,1
2,7,-5
0,1,-1
5,1,4
27,26,1
5,7,-2
1,0,1
3,9,-6
4,1,3
4,0,4
0,0,0
10,2,8
11,14,-3
3,3,0
60,0,60
1,0,1
33,13,20
4,4,0
5,0,5
7,0,7
25,0,25
5,0,5
0,1,-1
2,2,0
1,1,0
3,0,3
1,1,0
1,20,-19
11,0,11
0,0,0
0,0,0
1,0,1
2,4,-2
3,1,2
20,66,-46
1,0,1
9,0,9
9,0,9
0,0,0
0,0,0
14,0,14
3,0,3
16,16,0
3,0,3
26,0,26
20,0,20
4,5,-1
15,16,-1
3,3,0
3,0,3
4,0,4
4,0,4
3,0,3
11,3,8
0,3,-3
7,2,5
2,7,-5
7,0,7
7,1,6
7,13,-6
2,5,-3
2,4,-2
6,2,4
1,5,-4
0,0,0
0,1,-1
6,0,6
30,0,30
0,0,0
1,1,0
51,6,45
6,0,6
2,1,1
0,0,0
4,39,-35
5,3,2
2,0,2
1,4,-3
0,1,-1
0,0,0
7,9,-2
30,0,30
0,1,-1
1,0,1
0,0,0
0,0,0
0,0,0
25,0,25
2,0,2
15,1,14
1,1,0
0,1,-1
11,3,8
1,0,1
4,5,-1
36,15,21
3,13,-10
6,8,-2
4,7,-3
9,6,3
1,0,1
4,0,4
4,8,-4
9,8,1
2,8,-6
3,5,-2
0,0,0
9,2,7
3,0,3
6,17,-11
17,54,-37
7,8,-1
0,0,0
6,3,3
1,1,0
14,2,12
0,0,0
14,1,13
14,4,10
0,26,-26
0,7,-7
8,1,7
25,0,25
3,6,-3
4,0,4
0,1,-1
4,0,4
0,0,0
10,2,8
0,0,0
1,22,-21
0,0,0
10,1,9
1,0,1
0,0,0
0,0,0
0,0,0
2,2,0
0,0,0
23,0,23
14,9,5
20,13,7
44,2,42
2,0,2
17,0,17
0,0,0
4,8,-4
5,6,-1
8,0,8
1,3,-2
5,7,-2
23,8,15
30,3,27
0,0,0
14,12,2
7,0,7
5,2,3
5,0,5
27,9,18
3,0,3
3,0,3
1,8,-7
5,2,3
4,2,2
0,0,0
0,0,0
0,9,-9
1,2,-1
1,1,0
6,7,-1
12,1,11
19,1,18
0,0,0
0,4,-4
12,4,8
50,50,0
4,2,2
7,2,5
2,9,-7
5,8,-3
38,0,38
22,2,20
1,0,1
4,0,4
7,5,2
1,0,1
15,4,11
4,3,1
2,2,0
14,10,4
2,2,0
2,1,1
4,0,4
3,4,-1
7,7,0
1,0,1
1,6,-5
21,2,19
4,7,-3
3,3,0
0,0,0
2,0,2
3,10,-7
12,0,12
4,5,-1
14,15,-1
1,0,1
5,0,5
3,0,3
2,2,0
6,6,0
1,0,1
4,0,4
0,0,0
0,1,-1
2,0,2
28,4,24
0,0,0
14,0,14
0,0,0
3,0,3
2,0,2
0,0,0
8,3,5
3,50,-47
12,7,5
4,3,1
13,9,4
1,1,0
1,1,0
10,10,0
16,3,13
2,5,-3
6,7,-1
5,6,-1
1,5,-4
8,4,4
4,3,1
1,1,0
19,7,12
11,9,2
4,3,1
19,1,18
27,3,24
0,0,0
14,5,9
0,0,0
2,0,2
0,0,0
5,0,5
11,5,6
14,15,-1
3,0,3
18,14,4
1,2,-1
7,0,7
1,0,1
14,7,7
3,3,0
7,10,-3
2,0,2
2,2,0
0,0,0
13,2,11
1,0,1
6,0,6
4,2,2
5,31,-26
9,12,-3
3,0,3
4,15,-11
1,0,1
9,2,7
29,19,10
2,0,2
37,0,37
13,31,-18
1,0,1
31,1,30
43,10,33
9,9,0
9,6,3
2,3,-1
1,1,0
0,0,0
3,7,-4
0,0,0
2,2,0
2,2,0
9,2,7
2,0,2
3,16,-13
1,1,0
3,0,3
10,16,-6
1,0,1
2,0,2
3,0,3
1,0,1
1,2,-1
2,1,1
9,2,7
0,1,-1
7,0,7
9,0,9
3,8,-5
15,4,11
5,0,5
3,1,2
10,0,10
1,0,1
35,0,35
4,1,3
0,0,0
2,0,2
2,0,2
1,0,1
1,0,1
3,0,3
2,1,1
0,0,0
1,0,1
2,0,2
12,11,1
6,0,6
2,0,2
25,0,25
37,37,0
44,1,43
1,4,-3
4,0,4
13,0,13
13,4,9
53,53,0
0,1,-1
1,0,1
20,25,-5
1,0,1
13,2,11
1,0,1
5,3,2
1,17,-16
0,0,0
24,1,23
6,1,5
6,1,5
14,1,13
17,5,12
7,5,2
6,1,5
1,0,1
10,2,8
1,0,1
3,0,3
1,7,-6
54,9,45
11,14,-3
2,2,0
0,2,-2
4,7,-3
1,1,0
1,2,-1
5,5,0
5,11,-6
10,2,8
6,0,6
1,12,-11
0,5,-5
6,1,5
1,1,0
1,1,0
9,0,9
9,0,9
2,17,-15
8,7,1
1,0,1
8,7,1
2,7,-5
0,5,-5
4,0,4
6,7,-1
3,1,2
0,0,0
0,2,-2
0,0,0
0,1,-1
6,0,6
0,7,-7
0,0,0
34,29,5
4,1,3
10,1,9
0,1,-1
2,5,-3
24,0,24
8,11,-3
3,1,2
9,8,1
50,38,12
8,1,7
15,8,7
6,6,0
2,2,0
6,0,6
2,5,-3
7,3,4
11,0,11
4,2,2
57,0,57
0,0,0
6,2,4
3,0,3
10,2,8
0,0,0
16,0,16
10,2,8
3,5,-2
19,0,19
2,2,0
1,0,1
1,7,-6
0,0,0
7,0,7
12,0,12
0,8,-8
3,0,3
2,0,2
18,42,-24
62,20,42
54,22,32
3,0,3
5,12,-7
3,0,3
9,4,5
2,1,1
12,2,10
10,9,1
3,3,0
1,2,-1
13,2,11
0,3,-3
24,2,22
2,3,-1
11,0,11
5,10,-5
2,0,2
0,1,-1
18,14,4
5,4,1
2,0,2
1,10,-9
2,1,1
0,0,0
6,2,4
1,0,1
1,0,1
18,13,5
10,7,3
9,0,9
4,0,4
1,6,-5
14,0,14
0,1,-1
4,2,2
4,0,4
1,0,1
1,1,0
20,6,14
1,3,-2
16,1,15
31,31,0
26,14,12
2,0,2
4,0,4
14,11,3
0,0,0
5,3,2
5,0,5
3,4,-1
3,0,3
0,6,-6
5,0,5
3,1,2
0,0,0
1,3,-2
21,5,16
1,4,-3
0,0,0
6,2,4
11,3,8
0,0,0
0,0,0
0,0,0
6,6,0
5,0,5
4,0,4
6,0,6
5,7,-2
4,3,1
4,7,-3
5,0,5
1,0,1
0,0,0
0,0,0
2,2,0
15,4,11
0,0,0
7,4,3
0,0,0
2,0,2
9,0,9
0,0,0
4,37,-33
9,11,-2
33,0,33
0,1,-1
2,0,2
0,0,0
0,0,0
4,0,4
0,0,0
4,1,3
3,0,3
1,0,1
0,0,0
0,1,-1
1,1,0
2,0,2
34,12,22
5,7,-2
30,0,30
3,2,1
0,0,0
4,4,0
3,0,3
5,0,5
3,0,3
1,0,1
3,7,-4
0,0,0
4,6,-2
5,3,2
7,0,7
0,2,-2
1,0,1
2,11,-9
25,18,7
6,15,-9
4,3,1
5,5,0
0,2,-2
1,5,-4
1,0,1
12,17,-5
0,1,-1
26,5,21
1,0,1
14,0,14
1,1,0
5,1,4
2,3,-1
0,0,0
12,0,12
0,0,0
28,0,28
0,1,-1
0,0,0
4,2,2
7,0,7
22,8,14
15,21,-6
0,0,0
3,6,-3
3,0,3
3,0,3
0,0,0
0,1,-1
17,30,-13
5,0,5
9,1,8
3,2,1
0,0,0
12,5,7
4,6,-2
34,19,15
9,0,9
4,1,3
3,0,3
21,0,21
10,0,10
12,1,11
9,8,1
21,8,13
13,1,12
11,8,3
1,2,-1
0,2,-2
17,7,10
14,8,6
5,10,-5
0,0,0
11,1,10
7,4,3
41,34,7
5,7,-2
0,0,0
24,0,24
0,0,0
6,8,-2
5,2,3
22,2,20
1,3,-2
3,0,3
18,2,16
0,1,-1
2,0,2
0,0,0
7,0,7
0,0,0
5,1,4
5,1,4
26,25,1
23,0,23
4,4,0
2,1,1
1,0,1
8,0,8
4,2,2
0,0,0
0,17,-17
1,1,0
1,0,1
8,0,8
0,0,0
5,1,4
1,0,1
8,0,8
9,10,-1
9,4,5
3,0,3
1,2,-1
3,0,3
3,0,3
2,2,0
0,0,0
4,5,-1
0,0,0
6,0,6
0,0,0
1,2,-1
2,0,2
10,0,10
9,28,-19
2,0,2
6,2,4
10,2,8
1,0,1
26,1,25
1,0,1
24,5,19
0,0,0
7,2,5
7,6,1
5,0,5
16,0,16
20,6,14
5,18,-13
28,10,18
11,0,11
31,6,25
1,0,1
0,0,0
4,1,3
12,1,11
0,5,-5
0,1,-1
2,1,1
11,9,2
1,0,1
3,2,1
2,2,0
0,0,0
0,0,0
1,27,-26
0,3,-3
4,0,4
5,0,5
0,4,-4
3,0,3
2,1,1
0,0,0
4,1,3
1,1,0
19,7,12
2,4,-2
9,2,7
0,0,0
0,11,-11
16,2,14
0,0,0
1,0,1
2,0,2
16,13,3
9,0,9
0,0,0
2,2,0
0,1,-1
0,0,0
0,0,0
5,1,4
9,9,0
8,0,8
0,0,0
18,32,-14
24,0,24
2,7,-5
12,0,12
9,4,5
6,2,4
1,0,1
4,2,2
5,4,1
0,7,-7
4,1,3
0,0,0
14,1,13
4,0,4
24,17,7
2,0,2
4,0,4
0,0,0
31,2,29
2,4,-2
9,18,-9
4,2,2
1,0,1
0,0,0
20,2,18
0,0,0
12,6,6
2,3,-1
7,33,-26
0,0,0
0,2,-2
4,0,4
2,0,2
11,1,10
3,5,-2
2,0,2
1,2,-1
2,2,0
0,0,0
10,1,9
0,0,0
0,2,-2
7,1,6
2,0,2
9,6,3
0,3,-3
3,3,0
30,7,23
3,3,0
1,8,-7
2,0,2
23,2,21
1,1,0
5,10,-5
6,0,6
18,0,18
2,2,0
3,4,-1
0,0,0
3,0,3
7,2,5
0,0,0
2,7,-5
2,0,2
4,3,1
3,1,2
3,7,-4
0,2,-2
14,3,11
1,2,-1
0,0,0
46,3,43
3,0,3
11,0,11
8,14,-6
0,0,0
1,5,-4
0,9,-9
2,0,2
0,0,0
8,1,7
3,1,2
1,0,1
11,1,10
6,0,6
1,0,1
0,0,0
6,0,6
25,25,0
1,0,1
1,3,-2
0,0,0
1,0,1
5,14,-9
0,0,0
21,14,7
5,0,5
0,0,0
0,0,0
4,1,3
7,1,6
2,0,2
10,1,9
33,0,33
0,0,0
2,25,-23
4,0,4
1,0,1
7,7,0
0,0,0
0,0,0
2,0,2
3,6,-3
0,0,0
28,5,23
0,0,0
2,2,0
7,7,0
0,0,0
0,0,0
6,1,5
0,7,-7
7,2,5
0,0,0
5,0,5
1,0,1
7,3,4
4,0,4
0,0,0
7,1,6
1,2,-1
0,0,0
5,0,5
0,0,0
2,2,0
5,32,-27
0,0,0
0,0,0
2,2,0
3,4,-1
6,3,3
10,0,10
3,2,1
2,5,-3
1,15,-14
0,0,0
5,1,4
3,2,1
8,0,8
5,0,5
0,1,-1
0,1,-1
0,34,-34
12,3,9
18,7,11
2,0,2
2,0,2
2,0,2
41,2,39
12,4,8
1,0,1
1,0,1
1,1,0
4,1,3
0,0,0
41,19,22
2,0,2
0,0,0
5,0,5
3,2,1
0,0,0
7,0,7
12,0,12
0,1,-1
3,0,3
18,12,6
6,0,6
0,3,-3
1,0,1
0,0,0
0,0,0
1,0,1
3,1,2
2,1,1
25,26,-1
20,4,16
0,0,0
9,7,2
1,0,1
0,1,-1
2,2,0
0,2,-2
18,1,17
9,7,2
6,39,-33
16,0,16
3,2,1
8,2,6
35,5,30
2,0,2
6,0,6
2,2,0
0,0,0
1,1,0
9,3,6
11,17,-6
7,2,5
0,1,-1
8,7,1
3,1,2
3,3,0
18,10,8
4,0,4
7,0,7
1,5,-4
0,0,0
9,1,8
1,1,0
5,1,4
0,5,-5
1,1,0
11,5,6
3,13,-10
8,1,7
3,0,3
1,0,1
1,0,1
6,5,1
2,0,2
7,0,7
0,2,-2
0,0,0
0,0,0
0,0,0
5,2,3
27,0,27
1,1,0
1,6,-5
14,1,13
11,4,7
45,3,42
0,2,-2
0,1,-1
1,1,0
12,9,3
1,2,-1
1,1,0
0,0,0
1,0,1
0,2,-2
0,0,0
0,0,0
12,0,12
5,0,5
12,7,5
0,3,-3
11,0,11
3,1,2
27,7,20
4,0,4
12,6,6
0,30,-30
6,4,2
24,15,9
2,4,-2
0,0,0
22,3,19
1,0,1
9,4,5
0,0,0
4,0,4
22,14,8
0,2,-2
14,5,9
11,0,11
3,0,3
6,9,-3
12,3,9
0,0,0
18,2,16
5,0,5
3,6,-3
2,4,-2
3,0,3
0,1,-1
2,2,0
0,0,0
3,0,3
2,2,0
19,8,11
20,51,-31
0,0,0
10,27,-17
9,0,9
15,15,0
2,3,-1
9,3,6
0,1,-1
16,1,15
13,7,6
24,0,24
0,0,0
6,3,3
2,5,-3
3,2,1
2,0,2
0,0,0
3,0,3
0,0,0
1,0,1
0,0,0
9,17,-8
53,0,53
